Symbole ,Key to Press            ,Code ASCII (Hex) ,HEX + 128 (0x80) ,Décimal (Dec) ,Code Binaire ,Couleur GR    ,Couleur HGR ,Description (FR)
"m"     ,"m"                     ,"0x6D"           ,"0xED"           ,          109 ,"01101101"   ,"Yellow"      ,"White"     ,"M minuscule"
"n"     ,"n"                     ,"0x6E"           ,"0xEE"           ,          110 ,"01101110"   ,"Aqua"        ,"Black"     ,"N minuscule"
"o"     ,"o"                     ,"0x6F"           ,"0xEF"           ,          111 ,"01101111"   ,"White"       ,"White"     ,"O minuscule"
"p"     ,"p"                     ,"0x70"           ,"0xF0"           ,          112 ,"01110000"   ,"Black"       ,"Black"     ,"P minuscule"
"q"     ,"q"                     ,"0x71"           ,"0xF1"           ,          113 ,"01110001"   ,"Magenta"     ,"Green"     ,"Q minuscule"
"r"     ,"r"                     ,"0x72"           ,"0xF2"           ,          114 ,"01110010"   ,"Dark Blue"   ,"Purple"    ,"R minuscule"
"s"     ,"s"                     ,"0x73"           ,"0xF3"           ,          115 ,"01110011"   ,"Purple"      ,"Orange"    ,"S minuscule"
"t"     ,"t"                     ,"0x74"           ,"0xF4"           ,          116 ,"01110100"   ,"Dark Green"  ,"Blue"      ,"T minuscule"
"u"     ,"u"                     ,"0x75"           ,"0xF5"           ,          117 ,"01110101"   ,"Gray1"       ,"White"     ,"U minuscule"
"v"     ,"v"                     ,"0x76"           ,"0xF6"           ,          118 ,"01110110"   ,"Medium Blue" ,"Black"     ,"V minuscule"
"w"     ,"w"                     ,"0x77"           ,"0xF7"           ,          119 ,"01110111"   ,"Light Blue"  ,"White"     ,"W minuscule"
"x"     ,"x"                     ,"0x78"           ,"0xF8"           ,          120 ,"01111000"   ,"Brown"       ,"Black"     ,"X minuscule"
"y"     ,"y"                     ,"0x79"           ,"0xF9"           ,          121 ,"01111001"   ,"Orange"      ,"Green"     ,"Y minuscule"
"z"     ,"z"                     ,"0x7A"           ,"0xFA"           ,          122 ,"01111010"   ,"Gray2"       ,"Purple"    ,"Z minuscule"
"{"     ,"Shift-["               ,"0x7B"           ,"0xFB"           ,          123 ,"01111011"   ,"Pink"        ,"Orange"    ,"Accolade ouvrante"
"|"     ,"Shift-\"               ,"0x7C"           ,"0xFC"           ,          124 ,"01111100"   ,"Light Green" ,"Blue"      ,"Barre verticale"
"}"     ,"Shift-]"               ,"0x7D"           ,"0xFD"           ,          125 ,"01111101"   ,"Yellow"      ,"White"     ,"Accolade fermante"
"~"     ,"Shift-`"               ,"0x7E"           ,"0xFE"           ,          126 ,"01111110"   ,"Aqua"        ,"Black"     ,"Tilde"
"DEL"   ,"Delete"                ,"0x7F"           ,"0xFF"           ,          127 ,"01111111"   ,"White"       ,"White"     ,"Suppression"
